"A Arte da Procrastinacao";"John Perry,jp@gmail.com,H";70;7
"It, a coisa";"Stephen King,sking@gmail.com,H";300;5
"Carrie, a estranha";"Stephen King,sking@gmail.com,H";160;6
"Sob a Redoma";"Stephen King,sking@gmail.com,H";100;3
"Dom Casmurro";"Machado de Assis,machado@exemplo.com,H";50;5
"Cemiterio Maldito";"Stephen King,sking@gmail.com,H";100;6
"Despejo";"Samantha Shweblin,shweblin@gmail.com,M";60;5
"Os Sete Maridos de Evelyn Hugo";"Taylor Jenkins Reid,taylorjreid@gmail.com,M";70;3
"A Danca da Morte";"Stephen King,sking@gmail.com,H";200;3
"Sombras da Noite";"Stephen King,sking@gmail.com,H";100;4
"A Fascinante Construcao do Eu";"Augusto Cury,augustocury@gmail.com,H";50;7
"Blink";"Malcolm Gladwell,malcomlg@gmail.com,M";80;3
"Cronicas de Gelo e Fogo";"George R.R. Martin,martin@gmail.com,H";70;2
"Scrum, Gestao Agil";"Rafael Sabbagh,sabbagh@gmail.com,H";160;4
"The Illuminae Files";"Amie Kaufman,kaufman@gmail.com,F;Jay Kristoff,kristoff@gmail.com,H";75;4
"The Gift of Fear";"Gavin de Becker,gavindebecker@gmail.com,H";100;3
"Fun Retrospectives";"Paulo Caroli,pcaroli@gmail.com,H";70;4
"O Sorriso da Hiena";"Gustavo Avila,gustavoavila@gmail.com,H";100;3
"Mundo de Sofia";"Jostein Gaarder,gaarder@gmail.com,H";100;6
"A Cabana";"Willian Young,young@gmail.com,H";140;2
"O Pequeno Principe";"Antoine de Saint-Exupery,saint@gmail.com,H";40;4
"Torre Negra";"Stephen King,sking@gmail.com,H";200;5
"Os Miseraveis";"Victor Hugo,hugo@gmail.com,H";35;3
"1984";"George Orwell,orwell@gmail.com,H";50;5
"Half Bad";"Sally Green,sally@gmail.com,M";40;0
